PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=3437.349 ms_nl=3437.349 ms_d2h=2.002 ms_geo_pub=0.062 ms_cover=20.291 ms_shard=0.126 ms_pack=20.421 ms_pub=22.423 ms_wait_workers=783.386 ms_total=4243.203 gen=1 n_edges_full=58172 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=3.257 ms_nl=3.257 ms_d2h=0.177 ms_geo_pub=0.042 ms_cover=0.000 ms_shard=0.140 ms_pack=0.141 ms_pub=0.318 ms_wait_workers=103.148 ms_total=106.738 gen=2 n_edges_full=58172 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=2.008 ms_nl=2.008 ms_d2h=0.173 ms_geo_pub=0.042 ms_cover=0.000 ms_shard=0.147 ms_pack=0.148 ms_pub=0.321 ms_wait_workers=94.251 ms_total=96.594 gen=3 n_edges_full=58120 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=2.030 ms_nl=2.030 ms_d2h=0.158 ms_geo_pub=0.041 ms_cover=0.000 ms_shard=0.142 ms_pack=0.143 ms_pub=0.301 ms_wait_workers=93.183 ms_total=95.563 gen=4 n_edges_full=58120 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=2.868 ms_nl=2.868 ms_d2h=0.162 ms_geo_pub=0.040 ms_cover=0.000 ms_shard=0.128 ms_pack=0.130 ms_pub=0.292 ms_wait_workers=93.179 ms_total=96.380 gen=5 n_edges_full=58116 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=2.610 ms_nl=2.610 ms_d2h=0.157 ms_geo_pub=0.037 ms_cover=0.000 ms_shard=0.104 ms_pack=0.106 ms_pub=0.263 ms_wait_workers=94.068 ms_total=96.958 gen=6 n_edges_full=58106 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=2.042 ms_nl=2.042 ms_d2h=0.155 ms_geo_pub=0.038 ms_cover=0.000 ms_shard=0.118 ms_pack=0.119 ms_pub=0.274 ms_wait_workers=92.700 ms_total=95.030 gen=7 n_edges_full=58082 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.874 ms_nl=1.875 ms_d2h=0.155 ms_geo_pub=0.038 ms_cover=0.000 ms_shard=0.096 ms_pack=0.098 ms_pub=0.252 ms_wait_workers=96.156 ms_total=98.298 gen=8 n_edges_full=58088 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.905 ms_nl=1.905 ms_d2h=0.166 ms_geo_pub=0.039 ms_cover=0.000 ms_shard=0.108 ms_pack=0.109 ms_pub=0.275 ms_wait_workers=94.907 ms_total=97.101 gen=9 n_edges_full=58096 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.830 ms_nl=1.830 ms_d2h=0.154 ms_geo_pub=0.038 ms_cover=0.000 ms_shard=0.102 ms_pack=0.103 ms_pub=0.257 ms_wait_workers=94.690 ms_total=96.789 gen=10 n_edges_full=58070 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.861 ms_nl=1.861 ms_d2h=0.160 ms_geo_pub=0.038 ms_cover=0.000 ms_shard=0.105 ms_pack=0.106 ms_pub=0.266 ms_wait_workers=93.199 ms_total=95.342 gen=11 n_edges_full=58052 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.873 ms_nl=1.873 ms_d2h=0.154 ms_geo_pub=0.037 ms_cover=0.000 ms_shard=0.105 ms_pack=0.106 ms_pub=0.260 ms_wait_workers=93.479 ms_total=95.625 gen=12 n_edges_full=58070 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.806 ms_nl=1.806 ms_d2h=0.156 ms_geo_pub=0.038 ms_cover=0.000 ms_shard=0.103 ms_pack=0.104 ms_pub=0.260 ms_wait_workers=93.612 ms_total=95.693 gen=13 n_edges_full=58076 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.828 ms_nl=1.828 ms_d2h=0.155 ms_geo_pub=0.037 ms_cover=0.000 ms_shard=0.090 ms_pack=0.091 ms_pub=0.246 ms_wait_workers=94.186 ms_total=96.277 gen=14 n_edges_full=58022 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.894 ms_nl=1.894 ms_d2h=0.157 ms_geo_pub=0.039 ms_cover=0.000 ms_shard=0.108 ms_pack=0.109 ms_pub=0.266 ms_wait_workers=92.544 ms_total=94.719 gen=15 n_edges_full=58022 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.756 ms_nl=1.756 ms_d2h=0.153 ms_geo_pub=0.037 ms_cover=0.000 ms_shard=0.095 ms_pack=0.096 ms_pub=0.249 ms_wait_workers=92.098 ms_total=94.117 gen=16 n_edges_full=57948 mode=W7_twophase
